delmarkedsområde,r2,rmse,n
1,0.9970892749167114,163988.24907023084,12
10,0.9255780740944141,105634.90466200204,12
11,0.4356126714536389,83830.94938953793,12
2,0.9354016584873682,130699.36534525214,12
3,0.9777692981535571,52931.214970993504,12
4,0.35673554256686546,47270.24245929726,12
5,0.5448775217796153,43613.106841689856,12
6,0.891810282372559,109853.59698644326,12
7,0.903686545290129,48107.245162286614,12
8,-0.32069404634720944,70156.6049088473,12
9,0.9368425606583405,243105.20426905548,12
