feature,value,pdp
t_index,109.16454545454545,14043.808625353326
t_index,110.36636363636363,19320.066761662492
t_index,111.56818181818181,33965.82398502564
t_index,112.77,33965.82398502564
t_index,113.97181818181818,33965.82398502564
t_index,115.17363636363636,33965.82398502564
t_index,116.37545454545453,33965.82398502564
t_index,117.57727272727271,33535.43715821181
t_index,118.7790909090909,33535.43715821181
t_index,119.98090909090908,33535.43715821181
t_index,121.18272727272726,33535.43715821181
t_index,122.38454545454545,33535.43715821181
t_index,123.58636363636363,28380.454969550065
t_index,124.78818181818181,25550.528361602293
t_index,125.99,25550.528361602293
t_index_area,1.0,-226980.15818215927
t_index_area,2.0,-225395.00328947764
t_index_area,3.0,-140296.80377873528
t_index_area,4.0,-122289.50133158188
t_index_area,5.0,-128632.32816530362
t_index_area,6.0,-127764.23203370062
t_index_area,7.0,-106108.34120531146
t_index_area,8.0,-110380.6047285811
t_index_area,9.0,-89198.66740464087
t_index_area,10.0,-93552.71190883307
t_index_area,11.0,-92572.90129523889
t_index_area,12.0,-92838.92047324583
