delmarkedsområde,år,kvartall,påstigninger,anall innbyggere
 9 ," 2,023 ",3," 8,838,907 "," 142,591 "
 9 ," 2,023 ",4," 10,673,559 "," 142,875 "
 9 ," 2,024 ",1," 10,713,285 "," 143,159 "
 9 ," 2,024 ",2," 10,425,988 "," 143,546 "
 9 ," 2,024 ",3," 8,973,358 "," 143,933 "
 9 ," 2,024 ",4," 10,616,604 "," 144,319 "
 9 ," 2,025 ",1," 11,057,683 "," 144,706 "
 9 ," 2,025 ",2,"10,888,295",
 10 ," 2,022 ",2," 4,261,801 "," 129,073 "
 10 ," 2,022 ",3," 4,001,685 "," 129,431 "
 10 ," 2,022 ",4," 4,743,370 "," 129,732 "
 10 ," 2,023 ",1," 4,939,064 "," 129,874 "
 10 ," 2,023 ",2," 4,672,291 "," 130,225 "
 10 ," 2,023 ",3," 4,140,307 "," 130,587 "
 10 ," 2,023 ",4," 4,982,993 "," 130,772 "
 10 ," 2,024 ",1," 4,885,424 "," 130,921 "
 10 ," 2,024 ",2," 5,078,511 "," 131,136 "
 10 ," 2,024 ",3," 4,232,624 "," 131,726 "
 10 ," 2,024 ",4," 5,035,662 "," 132,033 "
 10 ," 2,025 ",1," 5,107,628 "," 132,358 "
 10 ," 2,025 ",2,"4,683,650",
 11 ," 2,022 ",2," 1,239,765 "," 96,540 "
 11 ," 2,022 ",3," 1,195,457 "," 97,129 "
 11 ," 2,022 ",4," 1,348,805 "," 97,589 "
 11 ," 2,023 ",1," 1,446,884 "," 97,784 "
 11 ," 2,023 ",2," 1,360,212 "," 97,867 "
 11 ," 2,023 ",3," 1,241,760 "," 98,040 "
 11 ," 2,023 ",4," 1,445,104 "," 98,430 "
 11 ," 2,024 ",1," 1,395,461 "," 98,815 "
 11 ," 2,024 ",2," 1,492,622 "," 99,214 "
 11 ," 2,024 ",3," 1,277,177 "," 99,657 "
 11 ," 2,024 ",4," 1,509,415 "," 100,136 "
 11 ," 2,025 ",1," 1,543,133 "," 100,492 "
 11 ," 2,025 ",2,"1,530,031",
 12 ," 2,022 ",2,"46,697,854"," 1,389,057 "
 12 ," 2,022 ",3,"9,053,980"," 1,395,328 "
 12 ," 2,022 ",4,"4,484,917"," 1,402,148 "
 12 ," 2,023 ",1,"804,821"," 1,407,271 "
 12 ," 2,023 ",2,"718,033"," 1,412,074 "
 12 ," 2,023 ",3,"7,158,650"," 1,417,117 "
 12 ," 2,023 ",4,"2,404,815"," 1,423,083 "
 12 ," 2,024 ",1,"1,080,166"," 1,428,670 "
 12 ," 2,024 ",2,"10,888,295"," 1,432,927 "
 12 ," 2,024 ",3,"4,683,650"," 1,438,088 "
 12 ," 2,024 ",4,"1,530,031"," 1,442,348 "
 12 ," 2,025 ",1,"89,606,668"," 1,446,495 "
 12 ," 2,025 ",2,"89,606,668",
