delmarkedsområde,år,kvartall,påstigninger,anall innbyggere,t_index,Q_1,Q_2,Q_3,Q_4,sin_q,cos_q
5,2023,4,717167,89354,77,False,False,False,True,-2.4492935982947064e-16,1.0
6,2023,4,6971486,144522,78,False,False,False,True,-2.4492935982947064e-16,1.0
7,2023,4,2320908,83662,79,False,False,False,True,-2.4492935982947064e-16,1.0
8,2023,4,1078585,68768,80,False,False,False,True,-2.4492935982947064e-16,1.0
9,2023,4,10673559,142875,81,False,False,False,True,-2.4492935982947064e-16,1.0
10,2023,4,4982993,130772,82,False,False,False,True,-2.4492935982947064e-16,1.0
11,2023,4,1445104,98430,83,False,False,False,True,-2.4492935982947064e-16,1.0
12,2023,4,2404815,1423083,84,False,False,False,True,-2.4492935982947064e-16,1.0
1,2024,1,46720612,279218,85,True,False,False,False,1.0,6.123233995736766e-17
2,2024,1,8771852,149061,86,True,False,False,False,1.0,6.123233995736766e-17
3,2024,1,4512689,188370,87,True,False,False,False,1.0,6.123233995736766e-17
4,2024,1,750294,51212,88,True,False,False,False,1.0,6.123233995736766e-17
5,2024,1,713047,89786,89,True,False,False,False,1.0,6.123233995736766e-17
6,2024,1,6822055,144823,90,True,False,False,False,1.0,6.123233995736766e-17
7,2024,1,2282699,84081,91,True,False,False,False,1.0,6.123233995736766e-17
8,2024,1,1029901,69224,92,True,False,False,False,1.0,6.123233995736766e-17
9,2024,1,10713285,143159,93,True,False,False,False,1.0,6.123233995736766e-17
10,2024,1,4885424,130921,94,True,False,False,False,1.0,6.123233995736766e-17
11,2024,1,1395461,98815,95,True,False,False,False,1.0,6.123233995736766e-17
12,2024,1,1080166,1428670,96,True,False,False,False,1.0,6.123233995736766e-17
1,2024,2,47052732,279577,97,False,True,False,False,1.2246467991473532e-16,-1.0
2,2024,2,9210378,149428,98,False,True,False,False,1.2246467991473532e-16,-1.0
3,2024,2,4581826,189330,99,False,True,False,False,1.2246467991473532e-16,-1.0
4,2024,2,792494,51584,100,False,True,False,False,1.2246467991473532e-16,-1.0
5,2024,2,719487,90142,101,False,True,False,False,1.2246467991473532e-16,-1.0
6,2024,2,7341913,145215,102,False,True,False,False,1.2246467991473532e-16,-1.0
7,2024,2,2430978,84338,103,False,True,False,False,1.2246467991473532e-16,-1.0
8,2024,2,1126613,69418,104,False,True,False,False,1.2246467991473532e-16,-1.0
9,2024,2,10425988,143546,105,False,True,False,False,1.2246467991473532e-16,-1.0
10,2024,2,5078511,131136,106,False,True,False,False,1.2246467991473532e-16,-1.0
11,2024,2,1492622,99214,107,False,True,False,False,1.2246467991473532e-16,-1.0
12,2024,2,10888295,1432927,108,False,True,False,False,1.2246467991473532e-16,-1.0
1,2024,3,42637596,279936,109,False,False,True,False,-1.0,-1.8369701987210297e-16
2,2024,3,8375938,149795,110,False,False,True,False,-1.0,-1.8369701987210297e-16
3,2024,3,4066790,190616,111,False,False,True,False,-1.0,-1.8369701987210297e-16
4,2024,3,708590,51921,112,False,False,True,False,-1.0,-1.8369701987210297e-16
5,2024,3,604279,90594,113,False,False,True,False,-1.0,-1.8369701987210297e-16
6,2024,3,6521100,145606,114,False,False,True,False,-1.0,-1.8369701987210297e-16
7,2024,3,2158915,84801,115,False,False,True,False,-1.0,-1.8369701987210297e-16
8,2024,3,989075,69503,116,False,False,True,False,-1.0,-1.8369701987210297e-16
9,2024,3,8973358,143933,117,False,False,True,False,-1.0,-1.8369701987210297e-16
10,2024,3,4232624,131726,118,False,False,True,False,-1.0,-1.8369701987210297e-16
11,2024,3,1277177,99657,119,False,False,True,False,-1.0,-1.8369701987210297e-16
12,2024,3,4683650,1438088,120,False,False,True,False,-1.0,-1.8369701987210297e-16
1,2024,4,48262937,280295,121,False,False,False,True,-2.4492935982947064e-16,1.0
2,2024,4,9256103,150162,122,False,False,False,True,-2.4492935982947064e-16,1.0
3,2024,4,4761576,191497,123,False,False,False,True,-2.4492935982947064e-16,1.0
4,2024,4,802227,52244,124,False,False,False,True,-2.4492935982947064e-16,1.0
5,2024,4,746572,90705,125,False,False,False,True,-2.4492935982947064e-16,1.0
6,2024,4,7185910,145998,126,False,False,False,True,-2.4492935982947064e-16,1.0
7,2024,4,2385932,85112,127,False,False,False,True,-2.4492935982947064e-16,1.0
8,2024,4,1105416,69847,128,False,False,False,True,-2.4492935982947064e-16,1.0
9,2024,4,10616604,144319,129,False,False,False,True,-2.4492935982947064e-16,1.0
10,2024,4,5035662,132033,130,False,False,False,True,-2.4492935982947064e-16,1.0
11,2024,4,1509415,100136,131,False,False,False,True,-2.4492935982947064e-16,1.0
12,2024,4,1530031,1442348,132,False,False,False,True,-2.4492935982947064e-16,1.0
1,2025,1,48047221,280654,133,True,False,False,False,1.0,6.123233995736766e-17
2,2025,1,9155964,150529,134,True,False,False,False,1.0,6.123233995736766e-17
3,2025,1,4697441,192307,135,True,False,False,False,1.0,6.123233995736766e-17
4,2025,1,824342,52519,136,True,False,False,False,1.0,6.123233995736766e-17
5,2025,1,760382,91090,137,True,False,False,False,1.0,6.123233995736766e-17
6,2025,1,7097812,146389,138,True,False,False,False,1.0,6.123233995736766e-17
7,2025,1,2385393,85366,139,True,False,False,False,1.0,6.123233995736766e-17
8,2025,1,1098717,70085,140,True,False,False,False,1.0,6.123233995736766e-17
9,2025,1,11057683,144706,141,True,False,False,False,1.0,6.123233995736766e-17
10,2025,1,5107628,132358,142,True,False,False,False,1.0,6.123233995736766e-17
11,2025,1,1543133,100492,143,True,False,False,False,1.0,6.123233995736766e-17
12,2025,1,89606668,1446495,144,True,False,False,False,1.0,6.123233995736766e-17
