feature,mean_abs_shap,pct
anall innbyggere,4038783.7694246927,43.68310134427039
AREA_1,3367696.084650172,36.42468073586208
AREA_9,497274.52562667016,5.378474000842113
AREA_3,342514.2838853324,3.7046019368733023
AREA_2,260232.8327438939,2.8146535825752745
AREA_7,159207.0128901553,1.7219679180274308
Q_3,127997.52783924813,1.3844090943285154
t_index,126105.80295299494,1.3639483777763521
cos_q,93343.55220987451,1.0095949879483075
sin_q,92979.63980671625,1.0056589459873724
AREA_5,51204.32492530325,0.5538211111746617
t_index_area,31567.43944941181,0.34143042444785365
AREA_4,29275.697873779915,0.3166431654068809
AREA_6,9557.241391109299,0.10337021442446592
AREA_10,8497.728122855657,0.09191061962686779
år,6421.564610065179,0.0694550324218559
Q_2,965.6837239018489,0.010444743364838725
Q_1,715.2569838662024,0.007736151548879566
AREA_11,666.3986197071823,0.0072077041263581675
Q_4,637.0164125043464,0.006889908966172439
AREA_8,0.0,0.0
