delmarkedsområde,n_valid,mean,median,p25,p75
1,12,0.7011341397937499,0.6842186740933219,0.40409146106885374,1.008667721718869
10,12,1.4775144095609116,1.150799089249525,0.39847909559929967,2.5990752085367004
11,12,0.7487277843658028,0.7740023443693154,0.5149283369270534,0.9390662362590366
2,12,0.6011913801444845,0.5601007545770511,0.41151471038255855,0.6707342704839839
3,12,0.23972577020387598,0.25290545937388104,0.13786138531039474,0.35163697156404733
4,12,-0.008460904211072416,0.030419308714219502,-0.09583197156685203,0.10700703769325008
5,12,-0.05449764463923514,-0.037102004634112194,-0.16583163370202844,0.05360557938519633
6,12,0.658565704108831,0.6263823968519251,0.4765104541188136,0.7807367040144715
7,12,0.6964355777915406,0.6731560136126643,0.35758535374829464,0.9807903780718987
8,12,0.6055917498867055,0.6606953172353289,0.4933068157748853,0.7124533188437036
9,12,0.6992549785478307,0.6908229214033059,0.5062995757849682,1.0069776291230268
